ID,Yes,Yes_Prob,predicted,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
5822,0,0.03081426,0,1,0,0,0,0,0,0,0,0,0
5823,1,0.32531247,1,1,1,1,1,0,0,0,0,0,0
5824,0,0.1796024,1,1,1,0,0,0,0,0,0,0,0
5825,0,0.06461221,0,1,0,0,0,0,0,0,0,0,0
5826,0,0.014117742,0,1,0,0,0,0,0,0,0,0,0
5827,0,0.018388359,0,1,0,0,0,0,0,0,0,0,0
5828,0,0.108366504,1,1,1,0,0,0,0,0,0,0,0
5829,0,0.05045501,0,1,0,0,0,0,0,0,0,0,0
5830,0,0.031913836,0,1,0,0,0,0,0,0,0,0,0
5831,0,0.13818486,1,1,1,0,0,0,0,0,0,0,0
5832,0,0.033904757,0,1,0,0,0,0,0,0,0,0,0
5833,1,0.14133686,1,1,1,0,0,0,0,0,0,0,0
5834,0,0.025364604,0,1,0,0,0,0,0,0,0,0,0
5835,0,0.05766698,0,1,0,0,0,0,0,0,0,0,0
5836,0,0.0059372797,0,1,0,0,0,0,0,0,0,0,0
5837,0,0.005991634,0,1,0,0,0,0,0,0,0,0,0
5838,0,0.029509852,0,1,0,0,0,0,0,0,0,0,0
5839,0,0.055783693,0,1,0,0,0,0,0,0,0,0,0
5840,0,0.028726237,0,1,0,0,0,0,0,0,0,0,0
5841,0,0.04165534,0,1,0,0,0,0,0,0,0,0,0
5842,0,0.01112758,0,1,0,0,0,0,0,0,0,0,0
5843,0,0.11885946,1,1,1,0,0,0,0,0,0,0,0
5844,0,0.03849135,0,1,0,0,0,0,0,0,0,0,0
5845,0,0.09714657,0,1,0,0,0,0,0,0,0,0,0
5846,0,0.022950143,0,1,0,0,0,0,0,0,0,0,0
5847,0,0.014650508,0,1,0,0,0,0,0,0,0,0,0
5848,0,0.08016925,0,1,0,0,0,0,0,0,0,0,0
5849,0,0.009676767,0,1,0,0,0,0,0,0,0,0,0
5850,0,0.025046322,0,1,0,0,0,0,0,0,0,0,0
5851,1,0.2500177,1,1,1,1,0,0,0,0,0,0,0
5852,0,0.019289963,0,1,0,0,0,0,0,0,0,0,0
5853,0,0.0340617,0,1,0,0,0,0,0,0,0,0,0
5854,0,0.06533806,0,1,0,0,0,0,0,0,0,0,0
5855,0,0.011808118,0,1,0,0,0,0,0,0,0,0,0
5856,0,0.0021790129,0,1,0,0,0,0,0,0,0,0,0
