ID,Yes,Yes_Prob,predicted,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
5822,0,0.039311734250706235,0,1,0,0,0,0,0,0,0,0,0
5823,1,0.22416791957153648,1,1,1,1,0,0,0,0,0,0,0
5824,0,0.23327333008084886,1,1,1,1,0,0,0,0,0,0,0
5825,0,0.10681409643504765,1,1,1,0,0,0,0,0,0,0,0
5826,0,0.007901747617455592,0,1,0,0,0,0,0,0,0,0,0
5827,0,0.018188264772449773,0,1,0,0,0,0,0,0,0,0,0
5828,0,0.08733185105341641,0,1,0,0,0,0,0,0,0,0,0
5829,0,0.08874401209630205,0,1,0,0,0,0,0,0,0,0,0
5830,0,0.03467396910136696,0,1,0,0,0,0,0,0,0,0,0
5831,0,0.033129964273565425,0,1,0,0,0,0,0,0,0,0,0
5832,0,0.013459659431198026,0,1,0,0,0,0,0,0,0,0,0
5833,1,0.06806444524006192,0,1,0,0,0,0,0,0,0,0,0
5834,0,0.015928295039982665,0,1,0,0,0,0,0,0,0,0,0
5835,0,0.05905420070225405,0,1,0,0,0,0,0,0,0,0,0
5836,0,0.049861998451819635,0,1,0,0,0,0,0,0,0,0,0
5837,0,0.021848686098350563,0,1,0,0,0,0,0,0,0,0,0
5838,0,0.06546285526322561,0,1,0,0,0,0,0,0,0,0,0
5839,0,0.06739120554978144,0,1,0,0,0,0,0,0,0,0,0
5840,0,0.011267492827850868,0,1,0,0,0,0,0,0,0,0,0
5841,0,0.09106571495640288,0,1,0,0,0,0,0,0,0,0,0
5842,0,0.07562235196641415,0,1,0,0,0,0,0,0,0,0,0
5843,0,0.041109491310001633,0,1,0,0,0,0,0,0,0,0,0
5844,0,0.030392086820853915,0,1,0,0,0,0,0,0,0,0,0
5845,0,0.07649802085255643,0,1,0,0,0,0,0,0,0,0,0
5846,0,0.04051077930536846,0,1,0,0,0,0,0,0,0,0,0
5847,0,0.02573176984427197,0,1,0,0,0,0,0,0,0,0,0
5848,0,0.04668676144359407,0,1,0,0,0,0,0,0,0,0,0
5849,0,0.04635083624818579,0,1,0,0,0,0,0,0,0,0,0
5850,0,0.02202900604977751,0,1,0,0,0,0,0,0,0,0,0
5851,1,0.4255021508724309,1,1,1,1,1,1,0,0,0,0,0
5852,0,0.013397790932680592,0,1,0,0,0,0,0,0,0,0,0
5853,0,0.06289223160155288,0,1,0,0,0,0,0,0,0,0,0
5854,0,0.06677310095083022,0,1,0,0,0,0,0,0,0,0,0
5855,0,0.0063016676810604,0,1,0,0,0,0,0,0,0,0,0
5856,0,0.004268983652550439,0,1,0,0,0,0,0,0,0,0,0
5857,0,0.13482243850160552,1,1,1,0,0,0,0,0,0,0,0
5858,1,0.03571686411346963,0,1,0,0,0,0,0,0,0,0,0
5859,0,0.006093341246375388,0,1,0,0,0,0,0,0,0,0,0
5860,0,0.1745157920730641,1,1,1,0,0,0,0,0,0,0,0
5861,0,0.06328242080549676,0,1,0,0,0,0,0,0,0,0,0
5862,0,0.03268212977093042,0,1,0,0,0,0,0,0,0,0,0
5863,0,0.007224181572078598,0,1,0,0,0,0,0,0,0,0,0
5864,0,0.21264979481704044,1,1,1,1,0,0,0,0,0,0,0
5865,0,0.3047902677835939,1,1,1,1,1,0,0,0,0,0,0
5866,1,0.03321153859745348,0,1,0,0,0,0,0,0,0,0,0
5867,0,0.03829820788358397,0,1,0,0,0,0,0,0,0,0,0
5868,0,0.01737979496371864,0,1,0,0,0,0,0,0,0,0,0
5869,0,0.016828752005196266,0,1,0,0,0,0,0,0,0,0,0
5870,0,0.020987336151633798,0,1,0,0,0,0,0,0,0,0,0
5871,0,0.04714060894073233,0,1,0,0,0,0,0,0,0,0,0
5872,0,0.06221718364431865,0,1,0,0,0,0,0,0,0,0,0
5873,0,0.12232717056608784,1,1,1,0,0,0,0,0,0,0,0
5874,0,0.08660147869003468,0,1,0,0,0,0,0,0,0,0,0
5875,0,0.052099138807234935,0,1,0,0,0,0,0,0,0,0,0
5876,0,0.06837791166874736,0,1,0,0,0,0,0,0,0,0,0
5877,0,0.0231514319838883,0,1,0,0,0,0,0,0,0,0,0
5878,0,0.22869132783714122,1,1,1,1,0,0,0,0,0,0,0
5879,0,0.024927456130943423,0,1,0,0,0,0,0,0,0,0,0
5880,0,0.03809507887038949,0,1,0,0,0,0,0,0,0,0,0
5881,0,0.030014312898751595,0,1,0,0,0,0,0,0,0,0,0
5882,0,0.0528190413996493,0,1,0,0,0,0,0,0,0,0,0
5883,0,0.0175884622808002,0,1,0,0,0,0,0,0,0,0,0
5884,0,0.028469514167272208,0,1,0,0,0,0,0,0,0,0,0
5885,0,0.01852523199157324,0,1,0,0,0,0,0,0,0,0,0
5886,0,0.08047271056227352,0,1,0,0,0,0,0,0,0,0,0
5887,0,0.021385192908431456,0,1,0,0,0,0,0,0,0,0,0
5888,0,0.019897132314250474,0,1,0,0,0,0,0,0,0,0,0
5889,0,0.03782511774120912,0,1,0,0,0,0,0,0,0,0,0
5890,0,0.018644834313248173,0,1,0,0,0,0,0,0,0,0,0
5891,0,0.033216041394779475,0,1,0,0,0,0,0,0,0,0,0
5892,0,0.02718798433848436,0,1,0,0,0,0,0,0,0,0,0
5893,0,0.07646913165158892,0,1,0,0,0,0,0,0,0,0,0
5894,0,0.09436147522437385,0,1,0,0,0,0,0,0,0,0,0
5895,0,0.01963665546241973,0,1,0,0,0,0,0,0,0,0,0
5896,0,0.020013159326155876,0,1,0,0,0,0,0,0,0,0,0
5897,0,0.014176682024935154,0,1,0,0,0,0,0,0,0,0,0
5898,0,0.07977046361017132,0,1,0,0,0,0,0,0,0,0,0
5899,0,0.06507820977336823,0,1,0,0,0,0,0,0,0,0,0
5900,0,0.025069360450203075,0,1,0,0,0,0,0,0,0,0,0
5901,0,0.2033918734682652,1,1,1,1,0,0,0,0,0,0,0
5902,0,0.042451952950648415,0,1,0,0,0,0,0,0,0,0,0
5903,0,0.18952737137784365,1,1,1,0,0,0,0,0,0,0,0
5904,0,0.040568613454603664,0,1,0,0,0,0,0,0,0,0,0
5905,0,0.08759164639513833,0,1,0,0,0,0,0,0,0,0,0
5906,0,0.35389471544181583,1,1,1,1,1,0,0,0,0,0,0
5907,0,0.0023478882751992603,0,1,0,0,0,0,0,0,0,0,0
5908,0,0.07119315539281326,0,1,0,0,0,0,0,0,0,0,0
5909,0,0.0270785397261484,0,1,0,0,0,0,0,0,0,0,0
5910,1,0.1511089591564731,1,1,1,0,0,0,0,0,0,0,0
5911,0,0.037615758829438906,0,1,0,0,0,0,0,0,0,0,0
5912,0,0.03201958523853098,0,1,0,0,0,0,0,0,0,0,0
5913,1,0.16281320392082063,1,1,1,0,0,0,0,0,0,0,0
5914,0,0.008391484573853199,0,1,0,0,0,0,0,0,0,0,0
5915,0,0.07698415981770512,0,1,0,0,0,0,0,0,0,0,0
5916,0,0.008763813370676226,0,1,0,0,0,0,0,0,0,0,0
5917,0,0.017223353218479006,0,1,0,0,0,0,0,0,0,0,0
5918,0,0.021538964718102804,0,1,0,0,0,0,0,0,0,0,0
5919,0,0.03164626296899233,0,1,0,0,0,0,0,0,0,0,0
5920,0,0.03256382032174328,0,1,0,0,0,0,0,0,0,0,0
5921,0,0.05554657607979806,0,1,0,0,0,0,0,0,0,0,0
5922,0,0.11470141988428936,1,1,1,0,0,0,0,0,0,0,0
5923,0,0.02552805845677412,0,1,0,0,0,0,0,0,0,0,0
5924,0,0.1255910600351306,1,1,1,0,0,0,0,0,0,0,0
5925,0,0.01868761618538062,0,1,0,0,0,0,0,0,0,0,0
5926,0,0.033815149952855,0,1,0,0,0,0,0,0,0,0,0
5927,0,0.05787391752163743,0,1,0,0,0,0,0,0,0,0,0
5928,0,0.0204507922460603,0,1,0,0,0,0,0,0,0,0,0
5929,0,0.025609784396505107,0,1,0,0,0,0,0,0,0,0,0
5930,0,0.04964891166288357,0,1,0,0,0,0,0,0,0,0,0
5931,0,0.02203762703321701,0,1,0,0,0,0,0,0,0,0,0
5932,0,0.02691441688445273,0,1,0,0,0,0,0,0,0,0,0
5933,0,0.16614266740231345,1,1,1,0,0,0,0,0,0,0,0
5934,0,0.12337113417777985,1,1,1,0,0,0,0,0,0,0,0
5935,0,0.03988060883805142,0,1,0,0,0,0,0,0,0,0,0
5936,0,0.0863673349746127,0,1,0,0,0,0,0,0,0,0,0
5937,0,0.12934435002672398,1,1,1,0,0,0,0,0,0,0,0
5938,0,0.01200735943820419,0,1,0,0,0,0,0,0,0,0,0
5939,0,0.01717490549732822,0,1,0,0,0,0,0,0,0,0,0
5940,0,0.016623224134599504,0,1,0,0,0,0,0,0,0,0,0
5941,0,0.024982528240495967,0,1,0,0,0,0,0,0,0,0,0
5942,0,0.010218254681385772,0,1,0,0,0,0,0,0,0,0,0
